Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
surimi,28,4.3,0.3,1.9,9.072
chinook salmon cooked,711,79.2,41.2,0.0,222.5
mullet cooked,140,23.1,4.5,0.0,58.866
chum salmon raw,3,0.6,0.1,0.0,1.025
butterfish raw,47,5.5,2.6,0.0,15.332
sea bass cooked,125,23.9,2.6,0.0,40.067
greenland halibut raw,759,58.6,56.5,0.0,130.06
halibut raw,371,75.7,5.4,0.0,110.481
sturgeon cooked,184,28.2,7.0,0.0,59.9
fish fillet fried,211,13.3,11.2,15.4,58.716
rainbow trout raw,111,15.8,4.9,0.0,43.047
pout raw,278,58.6,3.2,0.0,98.078
rainbow smelt cooked,35,6.4,0.9,0.0,29.428
monkfish raw,22,4.1,0.4,0.0,7.21
trout raw,117,16.4,5.2,0.0,57.297
shark raw,37,5.9,1.3,0.0,17.064
burbot raw,104,22.4,0.9,0.0,82.309
dolphinfish cooked,173,37.7,1.4,0.0,71.625
crayfish cooked,25,5.0,0.4,0.0,20.222
dolphinfish raw,173,37.7,1.4,0.0,72.1
perch cooked,54,11.4,0.5,0.0,60.112
cusk raw,106,23.2,0.8,0.0,37.228
bluefin tuna raw,41,6.6,1.4,0.0,10.8
milkfish cooked,54,7.4,2.4,0.0,28.341
carp raw,277,38.9,12.2,0.0,146.793
sturgeon raw,30,4.6,1.1,0.0,9.612
orange roughy raw,22,4.6,0.2,0.0,7.672
catfish fried,199,15.7,11.6,7.0,74.4
cuttlefish raw,22,4.6,0.2,0.2,33.734
bass raw,90,14.9,2.9,0.0,83.837
flounder cooked,109,19.4,3.0,0.0,22.622
milkfish raw,42,5.8,1.9,0.0,22.203
eel raw,375,37.6,23.8,0.0,109.0
catfish raw,189,24.2,9.4,0.0,46.7
fish sticks,78,3.1,4.5,6.1,14.563
coho salmon raw,254,33.8,12.2,0.0,67.308
monkfish cooked,27,5.3,0.6,0.0,9.165
yellowtail cooked,546,86.6,19.6,0.0,201.282
yellowfin tuna cooked,37,8.2,0.2,0.0,9.861
ling cooked,168,36.8,1.2,0.0,105.731
eel cooked,67,6.7,4.2,0.0,19.3
sablefish raw,753,51.8,59.1,0.0,251.3
salmon nuggets,60,3.6,3.3,4.0,13.6
yellowtail raw,546,86.5,19.6,0.0,204.5
butterfish cooked,47,5.5,2.6,0.0,15.35
caviar,42,3.9,2.9,0.6,53.325
pollock raw,355,75.0,3.8,0.0,312.275
catfish cooked,206,26.4,10.3,0.0,37.141
whiting raw,83,16.8,1.2,0.0,62.592
